parent_area, processing_area, node_id, coc, vendor, qos, goodstype, flow, sellerLocationId, externalization, destinationHubId, mappedHubId, destinationTag, bagClosingTag, bagServiceType, fbeBin, bagLabelText
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/ROH,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/BIR,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/ROH,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,DUG/MDH,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/GAS,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,DUG/MDH,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,BLR/JHD,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,PAT/ATR,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/GYS,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/ROH,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/RJI,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/GAS,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,RJL/FAT,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/BKJ,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/RJI,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/PJF,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/BIR,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,IXR/BNK,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/GAS,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,APG/MDH,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/RJI,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/GYS,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,PAT/NWD,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
